"","gene_id","chr","category","number_variant","SKAT(1,25)","SKAT(1,25)-CADD.PHRED","SKAT(1,25)-LINSIGHT.PHRED","SKAT(1,25)-FATHMM.XF.PHRED","SKAT(1,25)-APC1.PHRED","SKAT(1,25)-APC2.PHRED","SKAT(1,25)-APC3.PHRED","SKAT(1,25)-APC4.PHRED","SKAT(1,25)-APC5.PHRED","SKAT(1,25)-APC6.PHRED","SKAT(1,25)-APC7.PHRED","SKAT(1,25)-APC8.PHRED","SKAT(1,25)-APC9.PHRED","STAAR-S(1,25)","SKAT(1,1)","SKAT(1,1)-CADD.PHRED","SKAT(1,1)-LINSIGHT.PHRED","SKAT(1,1)-FATHMM.XF.PHRED","SKAT(1,1)-APC1.PHRED","SKAT(1,1)-APC2.PHRED","SKAT(1,1)-APC3.PHRED","SKAT(1,1)-APC4.PHRED","SKAT(1,1)-APC5.PHRED","SKAT(1,1)-APC6.PHRED","SKAT(1,1)-APC7.PHRED","SKAT(1,1)-APC8.PHRED","SKAT(1,1)-APC9.PHRED","STAAR-S(1,1)","Burden(1,25)","Burden(1,25)-CADD.PHRED","Burden(1,25)-LINSIGHT.PHRED","Burden(1,25)-FATHMM.XF.PHRED","Burden(1,25)-APC1.PHRED","Burden(1,25)-APC2.PHRED","Burden(1,25)-APC3.PHRED","Burden(1,25)-APC4.PHRED","Burden(1,25)-APC5.PHRED","Burden(1,25)-APC6.PHRED","Burden(1,25)-APC7.PHRED","Burden(1,25)-APC8.PHRED","Burden(1,25)-APC9.PHRED","STAAR-B(1,25)","Burden(1,1)","Burden(1,1)-CADD.PHRED","Burden(1,1)-LINSIGHT.PHRED","Burden(1,1)-FATHMM.XF.PHRED","Burden(1,1)-APC1.PHRED","Burden(1,1)-APC2.PHRED","Burden(1,1)-APC3.PHRED","Burden(1,1)-APC4.PHRED","Burden(1,1)-APC5.PHRED","Burden(1,1)-APC6.PHRED","Burden(1,1)-APC7.PHRED","Burden(1,1)-APC8.PHRED","Burden(1,1)-APC9.PHRED","STAAR-B(1,1)","ACAT-V(1,25)","ACAT-V(1,25)-CADD.PHRED","ACAT-V(1,25)-LINSIGHT.PHRED","ACAT-V(1,25)-FATHMM.XF.PHRED","ACAT-V(1,25)-APC1.PHRED","ACAT-V(1,25)-APC2.PHRED","ACAT-V(1,25)-APC3.PHRED","ACAT-V(1,25)-APC4.PHRED","ACAT-V(1,25)-APC5.PHRED","ACAT-V(1,25)-APC6.PHRED","ACAT-V(1,25)-APC7.PHRED","ACAT-V(1,25)-APC8.PHRED","ACAT-V(1,25)-APC9.PHRED","STAAR-A(1,25)","ACAT-V(1,1)","ACAT-V(1,1)-CADD.PHRED","ACAT-V(1,1)-LINSIGHT.PHRED","ACAT-V(1,1)-FATHMM.XF.PHRED","ACAT-V(1,1)-APC1.PHRED","ACAT-V(1,1)-APC2.PHRED","ACAT-V(1,1)-APC3.PHRED","ACAT-V(1,1)-APC4.PHRED","ACAT-V(1,1)-APC5.PHRED","ACAT-V(1,1)-APC6.PHRED","ACAT-V(1,1)-APC7.PHRED","ACAT-V(1,1)-APC8.PHRED","ACAT-V(1,1)-APC9.PHRED","STAAR-A(1,1)","ACAT-O","STAAR-O"
"1","CATG00000001724.1","chr1","lncRNA_cond","135","0.0784805700529514","0.0600245296670519","0.0804160368583526","0.0776930428097995","0.0781070177399254","0.0917902365803474","0.0786012162257177","0.063380653841442","0.0776361469745796","0.0818287526834387","0.0806337334161043","0.0785670586707533","0.0784805700529515","0.0765412035709803","0.0717811698223354","0.0593215882264547","0.0730006915594763","0.0713101502318848","0.0715529878741755","0.0797203477683406","0.071903618550595","0.06180487130905","0.0712689982049959","0.0737712748196345","0.0731385970741281","0.0718578070529543","0.0717811698223356","0.0705723034642942","0.295974889764228","0.939543901609476","0.368358769588577","0.342339939126242","0.293863157662075","0.303088909413591","0.247678750031669","0.313912170454777","0.27791357884101","0.364519984211038","0.227704960521308","0.251704548061356","0.295974889764227","0.408437052906421","0.240143614156816","0.780458387122809","0.29748910366455","0.275989268544401","0.238261003558743","0.251653258666091","0.201556538525607","0.247474050685754","0.225545841562529","0.296825936284556","0.186813372261917","0.20522301731372","0.240143614156816","0.266876586571587","0.144196604260822","0.0933410494096211","0.146268674909001","0.140227730347673","0.142286975773668","0.196198563908931","0.134733894789686","0.0870657250362614","0.140364136123639","0.158362747948067","0.148444715424949","0.142083614751174","0.144196604260822","0.134633394212903","0.116901810097518","0.0826091946973377","0.118095950117117","0.114136425863004","0.11568597923651","0.148447240008919","0.110499990760674","0.0782523496211628","0.114341148052981","0.126307802951595","0.118959981054416","0.115347995967118","0.116901810097518","0.110856562502278","0.122628706784498","0.123463043548107"
"2","CATG00000001724.1","chr1","lncRNA_cond","137","0.016154583537505","0.0124555639223852","0.0163545737946853","0.0161202389940913","0.016042319002513","0.0187732497693194","0.0159383098908224","0.0130338103092764","0.015967159407394","0.0169075972501468","0.0169320830207217","0.0160712940597678","0.016154583537505","0.0157502329366753","0.0148629235972643","0.0123650114991984","0.0149810721391654","0.0148514477056786","0.0147930317604896","0.0163908675391391","0.0147336611279349","0.0127999965130258","0.0147513567301894","0.015295236838594","0.0153497648460824","0.0148135244780835","0.0148629235972643","0.0146076097004006","0.285191603101623","0.915969902143801","0.350256428998084","0.340307593328684","0.271284063965985","0.313573442352786","0.186447840808357","0.256647467858292","0.261844309735861","0.375066353637369","0.152923175808129","0.216740035976724","0.285191603101625","0.33422132932704","0.205574091598058","0.860919109107176","0.252542448944975","0.244567144750077","0.1950027619827","0.237378422741675","0.133225679868396","0.175570859141662","0.188036541832191","0.275587496884075","0.110933790560944","0.155707217348105","0.205574091598062","0.218330149119649","0.027111218056681","0.0206236977389031","0.0269941006086895","0.0264561498261571","0.0266615005592519","0.0370936180551949","0.0239809718379778","0.0178493173392548","0.0264080646049572","0.0297252673315101","0.0268374008806153","0.0262408961830778","0.027111218056681","0.0256845835810492","0.0223119075512244","0.0178111342799726","0.0222497453682101","0.0218569545059938","0.0220348327496524","0.0281733248011895","0.0203647230366495","0.0160137533660165","0.0218532485367652","0.0239934817736143","0.0221165757192508","0.0217676353304562","0.0223119075512244","0.0213997236522472","0.0275419890253636","0.0268423027622957"
"3","ENSG00000233271.1","chr1","lncRNA_cond","1697","1.30645401317389e-11","3.21726661031208e-12","3.01293341499836e-11","1.24876966474692e-12","4.98476712896232e-11","7.65213635331239e-11","3.33572466988172e-10","4.88554827871816e-11","2.50723803514558e-10","8.38485419083577e-13","6.91577234032708e-11","9.77245168989413e-11","1.13862048212254e-11","5.02498043175592e-12","1.50176526729796e-11","3.80596982735185e-12","4.43840502263298e-11","1.23860561316107e-12","7.12049885744468e-11","1.08984480933119e-10","4.10462350649229e-10","1.80243888229321e-10","3.55938311178645e-10","1.94273257553958e-12","9.13340427639353e-11","1.15988022009872e-10","1.29345156550268e-11","7.20290493916309e-12","0.00116063223277239","0.000511749494770954","0.00691094672552588","0.0227844003860848","0.000213402150516434","0.00014954965045611","0.00161862885650799","0.0117147434257331","0.000862991004757225","0.00386898503121453","0.0038371616478193","0.00221456273855442","0.00124632364858122","0.000721750550264133","0.000763870739122159","0.000366515798240131","0.0046675237416354","0.016513638403745","0.000122185054162573","0.000100512850010249","0.00146962935473622","0.0109935260804311","0.000577989765524108","0.00263242332037445","0.00261077253343735","0.00157030980707806","0.00081297805670136","0.00047141090090852","8.8680411823691e-07","6.02101191043609e-07","8.23757681347884e-07","9.39904777397921e-07","1.13953104580219e-06","8.02028298309059e-07","7.33136694705411e-07","6.87975896866552e-07","1.00431168829233e-06","7.10112030461784e-07","1.74972591774598e-06","1.32282866239357e-06","9.26971808091531e-07","8.7728137532217e-07","9.69117785969681e-07","6.49557375875612e-07","9.01796230912487e-07","1.0280913346142e-06","1.25906510831844e-06","8.85623628056336e-07","7.97335551058571e-07","7.42882228196915e-07","1.10325128673618e-06","7.67321955383842e-07","1.91474728186538e-06","1.45694742193102e-06","1.00992632508851e-06","9.56932903806162e-07","4.1918912785377e-11","1.77600156803237e-11"
"4","ENSG00000233271.1","chr1","lncRNA_cond","1733","3.00049091696593e-09","9.41373939782533e-10","4.86668258097294e-09","7.65604524990685e-10","6.86410304520364e-09","1.0513038801275e-08","1.64409262937275e-08","1.08276817972931e-08","2.67376195011426e-08","4.43866870220108e-10","1.23541224138955e-08","1.22588862487973e-08","2.80473698579538e-09","2.12746353867033e-09","4.85373713367986e-09","1.63611022896737e-09","9.07020521174444e-09","1.33495843677569e-09","1.23627453923379e-08","1.90908534154124e-08","2.55859996244154e-08","4.06768990251857e-08","4.6543172415992e-08","1.06259573633331e-09","2.01383038864482e-08","1.88146160475824e-08","4.46239845330893e-09","4.1100398640026e-09","0.00465069296306484","0.0042382938398626","0.0109082478094671","0.0466074060266686","0.00112554412856946","0.00066980752748464","0.00663822207869612","0.0337944323436086","0.00472130420243254","0.00748535899283666","0.0122902107173002","0.0106277475011937","0.00601941909240266","0.00340993021448055","0.0034934797453143","0.00363882490892492","0.00809244048530388","0.0379975612965473","0.000773219064221485","0.000498926824702499","0.00617405131401244","0.0357988774429615","0.00348538327302587","0.00604736927607768","0.00951628869458609","0.00828791016837455","0.00449042169279338","0.00254959604273153","1.45028465866627e-06","1.0627316562801e-06","1.35149630246005e-06","1.65698423034636e-06","2.01504743707788e-06","1.34559339889336e-06","1.26211770093402e-06","1.2364990329536e-06","1.68073060057396e-06","1.12294788668561e-06","3.22833234914291e-06","2.05055822082259e-06","1.51662356344054e-06","1.48457985815753e-06","1.58659723714556e-06","1.14660977833885e-06","1.48146044248457e-06","1.81396760052876e-06","2.23101488909511e-06","1.48761564709318e-06","1.37327569950592e-06","1.33522018744624e-06","1.84872267897831e-06","1.21414522242045e-06","3.54258440310688e-06","2.2637616699939e-06","1.65403656971137e-06","1.62106583689869e-06","1.10982472101284e-08","8.39582270373285e-09"
"5","NONHSAG105409.1","chr1","lncRNA_cond","195","1.18066791980524e-10","1.11845308860761e-10","1.21715572301216e-10","1.2685757188055e-10","1.3262292658955e-10","1.18808322484537e-10","1.31082424522289e-10","1.16926375994667e-10","1.07579326985472e-10","1.46498743546678e-10","1.25871578551202e-10","1.56156053877971e-10","1.1806679198052e-10","1.24297905301773e-10","1.12625430512731e-10","1.0738160083939e-10","1.15543327377553e-10","1.19497542200039e-10","1.25509294462532e-10","1.13918794008742e-10","1.23733477412334e-10","1.10738255376244e-10","1.04047771468361e-10","1.34869199391487e-10","1.20187465310281e-10","1.46645470223149e-10","1.12625430512734e-10","1.18056675546541e-10","0.000101904007418939","1.59079005866836e-07","0.000112365589083838","0.000235805170112075","0.000168799185027562","9.18357912073389e-05","7.97049065138639e-07","4.99911570828931e-06","0.000180630485653695","5.00596018771297e-05","6.32892508973544e-05","3.99480475757795e-05","0.000101904007418935","1.65462332979427e-06","2.82549422958858e-05","4.92218367966824e-08","3.13224058558445e-05","6.6966374126316e-05","4.70440427015451e-05","2.5713543199726e-05","2.21779222846482e-07","1.31940253711277e-06","5.13331277994904e-05","1.33252519688749e-05","1.51682878109689e-05","1.10951384379425e-05","2.82549422958866e-05","4.99779597928907e-07","2.23228079002951e-10","1.45357117453835e-10","2.21800753608387e-10","2.32044767663e-10","2.23531055405742e-10","2.15548548217949e-10","1.69646149449047e-10","1.60198708478206e-10","2.29284536786898e-10","2.10333699821918e-10","2.23712681777538e-10","2.23349992986466e-10","2.23228079002951e-10","2.03220329453302e-10","1.99073116667167e-10","1.3429482866869e-10","1.98046045969728e-10","2.06638515153364e-10","2.00608285031643e-10","1.93252221814222e-10","1.54531419787377e-10","1.46333054324404e-10","2.04027973489277e-10","1.885245432838e-10","1.98977023899831e-10","2.02467043207351e-10","1.99073116667167e-10","1.83056569902362e-10","2.23448592961972e-10","2.23032925461553e-10"
"6","CATG00000059355.1","chr1","lncRNA_cond","1243","0.0671675703702894","0.112027070782635","0.0635517446792036","0.097473012216174","0.0721780590271181","0.131540097430333","0.0734231457809338","0.0946134316073357","0.0515069082313556","0.0884620996510066","0.0704484920799334","0.067536295237597","0.0671675703702893","0.0765366057922949","0.0867990176864767","0.128672660383539","0.0831646026655572","0.113077603723475","0.0927933094925825","0.156671668836666","0.093363884485294","0.108019357763027","0.0667042535564353","0.111502378672039","0.0920680571013516","0.0866030776888072","0.0867990176864766","0.096302997226782","0.0801398155453129","0.167453173586226","0.0778701852328905","0.232084242003122","0.0751787863094422","0.126167218894367","0.0999992083386561","0.372268037904305","0.0858347439190756","0.0876152802196829","0.0767572279542719","0.112759142217359","0.0801398155453161","0.10340941184993","0.0967996250636367","0.187212755100034","0.0953369914619513","0.245629222966089","0.0915134760223737","0.140557899055802","0.119253988195792","0.407550170243974","0.0992521441856149","0.106575866388388","0.0962745840174278","0.134274893845104","0.096799625063633","0.123221231494421","0.128797854977839","0.156996721537291","0.122866503178112","0.125674599143174","0.129609134155797","0.14159815129722","0.127618332324382","0.157949162354394","0.12662107577288","0.13037555798639","0.127386384498837","0.121329380719702","0.128797854977839","0.131899958835863","0.136109546896238","0.162440483479399","0.130590535220037","0.133247611333476","0.137663671158417","0.150650625125247","0.135250466212479","0.161613148491167","0.131912701833745","0.139218303199851","0.136838371979088","0.129277287386959","0.136109546896238","0.13937957911283","0.0934454544857457","0.107335894401773"
"7","CATG00000059355.1","chr1","lncRNA_cond","1265","0.191214057763937","0.122206570720268","0.169128891723404","0.223432527014914","0.196262948274658","0.236565362804202","0.207858978347839","0.128869432175132","0.146069996100924","0.239505273954931","0.276740453290704","0.19501695107756","0.191214057763938","0.185093370783066","0.23094535452611","0.138256224792984","0.209750005456677","0.251427282471897","0.236776345257111","0.257044672291684","0.247370061642383","0.142845471841248","0.175877427285552","0.285667683203475","0.329233782229405","0.232925422013513","0.230945354526114","0.217602482146766","0.190972481690602","0.454944487429372","0.243428496484373","0.570418021445033","0.224236010777373","0.407570928121055","0.222226512537289","0.451849403423159","0.276352538652231","0.156129237375159","0.21910210319704","0.317199993069742","0.190972481690598","0.272440711806059","0.221259571907909","0.46631042086332","0.277714566240314","0.589727149394088","0.256657418833033","0.428879612463017","0.255501745005418","0.474763836431646","0.300865666067524","0.187022007608827","0.262211814953943","0.35609847024968","0.221259571907909","0.308551211504674","0.168774485888721","0.0974628659845186","0.155919473587399","0.118115519510279","0.157369892772717","0.184750915596152","0.170217341574283","0.0946610278360719","0.148515335568414","0.18625409807854","0.22032515689845","0.156556415136358","0.16877448588872","0.147978766174876","0.187422417448469","0.101187842001893","0.174598773034765","0.129042850563099","0.176182801770546","0.216632967654041","0.189671784283537","0.0985793344534236","0.165987057787978","0.205657867873085","0.248844476029939","0.176248003384844","0.187422417448469","0.162897572283148","0.196518535342034","0.203362592973516"
"8","NONHSAG001567.2","chr1","lncRNA_cond","2311","3.9782777561561e-13","7.24039657028951e-14","1.48449827591429e-12","5.76828950747678e-13","1.36074829191117e-12","3.73848606599766e-13","2.41498078204516e-13","1.57857907346523e-13","2.89402039526529e-13","6.77460986606158e-13","1.33711706347077e-12","7.52586511213502e-13","3.97827775615558e-13","3.08530978543331e-13","6.27287447482167e-13","1.25912959156877e-13","2.10378544041394e-12","8.53545067814809e-13","1.98323179314634e-12","5.71229008267952e-13","3.96728246566966e-13","2.69355914183281e-13","4.54127814997068e-13","1.06611490090312e-12","1.78997248223758e-12","1.15021800582971e-12","6.27287447482183e-13","5.03153074760121e-13","0.0014254640412201","0.0207261767819517","0.000137378608370697","0.000769775982724602","2.55979832613577e-06","0.000952898119882315","0.000686496986204461","0.00515975650044882","0.00675491372875701","9.20701825872807e-05","6.43417181217078e-07","3.03965395157233e-06","0.00142546404122","5.65812525366027e-06","0.000671326354968059","0.0110242063228166","5.32490869893986e-05","0.00033035043123945","1.13608021130466e-06","0.000511407441500835","0.00028496820766017","0.00246832531973841","0.00332846457826002","4.22192223814291e-05","2.57378957487903e-07","1.41909452974892e-06","0.000671326354967481","2.35296317963041e-06","2.8272319200915e-12","2.91424063380321e-12","3.60132020136441e-12","4.40476141583211e-12","2.15301115971388e-12","2.04925400346358e-12","1.98394645109972e-12","3.53673393625336e-12","2.88782075753021e-12","2.72358598612472e-12","1.83916436923419e-12","1.84054158983038e-12","2.82723192009151e-12","2.55151455519353e-12","2.69908954634087e-12","2.71950357501059e-12","3.39551486910135e-12","4.10054443280364e-12","2.08370979815101e-12","1.97313980796787e-12","1.90408585039511e-12","3.30917463050643e-12","2.73322505926291e-12","2.63964599513966e-12","1.7664785706634e-12","1.78562240522554e-12","2.69908954634087e-12","2.43804976207684e-12","1.24178445304324e-12","9.94981874669065e-13"
"9","NONHSAG001567.2","chr1","lncRNA_cond","2362","9.61025149417786e-10","3.06051585521965e-10","1.95387078277436e-09","1.50523609289137e-09","1.87564465878443e-09","1.04027384262095e-09","5.33099363866881e-10","4.53225075504397e-10","7.56900128886464e-10","1.44398129512953e-09","1.38356048630933e-09","1.22259409103984e-09","9.61025149417818e-10","8.303648879604e-10","1.28558978729226e-09","4.31015729382924e-10","2.40618336776455e-09","1.83725130301655e-09","2.40844731102853e-09","1.37744867600316e-09","7.24336489701295e-10","6.2521000135552e-10","1.01748460764767e-09","1.90349627039497e-09","1.64539653300159e-09","1.63161841614704e-09","1.28558978729227e-09","1.11246833967016e-09","0.00245155248824722","0.0221258133587462","0.000352423513520371","0.000930027730374656","1.37549106682023e-05","0.00143349408007042","0.000793406345269579","0.00595783374766986","0.008118843306731","0.000330395583036481","1.94996345741894e-06","2.38826811408337e-05","0.00245155248824692","2.03936910041502e-05","0.00122118682730199","0.0121050980569194","0.000156288116914475","0.000456031923568342","7.4242385542098e-06","0.000792677710120846","0.000365680326060458","0.00286062242427335","0.00412995994770157","0.000165367069743596","9.43599549112921e-07","1.26854392093003e-05","0.00122118682730193","1.00444841609759e-05","3.08295230824703e-09","2.1019200382899e-09","2.92052968444202e-09","2.93055534838645e-09","2.70768313711857e-09","2.38600085064728e-09","2.52545018066331e-09","2.42028382810574e-09","2.62497201222939e-09","4.50999157331002e-09","1.93672948427886e-09","2.30939430580321e-09","3.08295230824703e-09","2.62216814927996e-09","2.85153718439563e-09","1.92758067930898e-09","2.69024191373525e-09","2.69126659547988e-09","2.52431385559261e-09","2.22080461213279e-09","2.33609151384256e-09","2.23079135996083e-09","2.42054109234379e-09","4.20031941984504e-09","1.79981982077971e-09","2.15845775661759e-09","2.85153718439563e-09","2.42703435127112e-09","2.40629272063586e-09","2.07130135265743e-09"
"10","NONHSAG059022.1","chr1","lncRNA_cond","188","8.09296057112523e-05","0.0315899000701728","0.000259972486841998","7.63940075244737e-05","6.59216726845357e-05","0.00165134003868408","0.00124799752188162","0.000164975501468795","9.11835841049382e-05","8.96357723415163e-05","3.90427427748771e-05","5.38949163810448e-05","8.09296057112522e-05","9.95332850703967e-05","6.77551109567844e-05","0.0127194972720115","0.000143972716689016","6.36127306477395e-05","5.88885253053666e-05","0.00135905387403885","0.000568158716480289","0.000119006108342125","7.86478399962745e-05","5.87148288071656e-05","3.63035410954478e-05","4.89100833118757e-05","6.77551109567834e-05","8.23409384140827e-05","0.0339541323272121","0.51341153688754","0.057105802057425","0.0154524712262832","0.017157796547379","0.0187375872662259","0.406521331042864","0.0153601375400302","0.0281200438935719","0.0660398760468082","0.000218245277732067","0.0120960033791411","0.0339541323272123","0.00258284668139908","0.0252062261995512","0.489147894567886","0.0435241670987923","0.0111853749755127","0.012206097137122","0.0163276793739337","0.367747552713837","0.0101639638135609","0.0209773557204807","0.0499372020210193","0.000135371771015284","0.00832421105440573","0.0252062261995515","0.00162317358130215","9.50282158724187e-05","0.00027932685706114","0.000127755301002122","9.06255030585088e-05","9.00405423550318e-05","0.000117236706911644","0.000174012285556571","9.37447512500049e-05","9.22815440405908e-05","0.000104548440447274","5.19937792819785e-05","8.18501356979322e-05","9.50282158724187e-05","9.89420710710842e-05","8.49230908389775e-05","0.000226453994872736","0.000109428855864263","8.09239772673028e-05","8.0128332541088e-05","0.000105528448938221","0.000148291386788864","8.24962921366042e-05","8.30036316400409e-05","9.15758910575724e-05","4.7443821146872e-05","7.35181312334953e-05","8.49230908389775e-05","8.78789184288742e-05","0.000121253927509057","0.000134285358597719"
